Bit Base
0 D
0 R
0 R
0 R
0 R
0 R
0 R
0 R
0 R
0 D
0 D
0 D
0 D
0 R
0 R
0 D
0 D
0 R
0 D
0 D
0 R
0 R
0 D
0 D
0 D
0 R
0 D
0 R
0 D
0 D
0 R
0 R
0 D
0 R
0 R
0 R
0 R
0 D
0 D
0 R
0 R
0 D
0 R
0 D
0 D
0 R
0 D
0 R
0 D
0 R
0 D
0 D
0 R
0 D
0 D
0 R
0 R
0 D
0 R
0 R
0 R
0 D
0 R
0 D
0 D
0 R
0 R
0 R
0 D
0 D
0 R
0 D
0 R
0 D
0 R
0 D
0 D
0 R
0 D
0 R
0 D
0 R
0 D
0 R
0 D
0 D
0 R
0 R
0 R
0 D
0 R
0 D
0 D
0 R
0 R
0 R
0 R
0 R
0 D
0 R
0 R
0 R
0 R
0 R
0 R
0 R
0 R
0 R
0 D
0 R
0 D
0 D
0 R
0 R
0 D
0 D
0 R
0 D
0 D
0 R
0 D
0 R
0 D
0 D
0 D
0 R
0 D
0 R
0 D
0 R
0 D
0 R
0 R
0 D
0 R
0 R
0 R
0 D
0 R
0 D
0 D
0 D
0 D
0 D
0 D
0 R
0 D
0 D
0 R
0 D
0 D
0 R
0 D
0 R
0 D
0 D
0 D
0 D
0 R
0 R
0 R
0 D
0 D
0 R
0 D
0 D
0 R
0 R
0 D
0 D
0 R
0 D
0 D
0 R
0 D
0 R
0 D
0 R
0 D
0 R
0 D
0 R
0 R
0 R
0 D
0 D
0 D
0 R
0 R
0 R
0 R
0 D
0 R
0 R
0 R
0 D
0 D
0 D
0 D
0 R
0 D
0 D
0 D
0 R
0 R
0 D
0 D
0 D
0 R
0 R
0 D
0 R
0 D
0 D
0 R
0 D
0 R
0 R
0 D
0 D
0 R
0 D
0 D
0 R
0 R
0 D
0 D
0 R
0 D
0 D
0 R
0 D
0 R
0 R
0 D
0 D
0 R
0 R
0 R
0 D
0 D
0 D
0 D
0 D
0 R
0 R
0 R
0 D
0 R
0 D
0 R
0 D
0 D
0 D
0 R
0 R
0 R
0 R
0 R
0 D
0 R
0 R
0 R
0 D
0 D
0 R
0 D
0 D
0 R
0 R
0 R
0 R
0 R
0 R
0 D
0 R
0 D
0 D
0 R
0 R
0 R
0 R
0 D
0 D
0 R
0 D
0 D
0 D
0 D
0 D
0 R
0 R
0 R
0 D
0 D
0 R
0 R
0 R
0 D
0 D
0 R
0 R
0 R
0 R
0 D
0 R
0 R
0 R
0 D
0 R
0 D
0 R
0 R
0 D
0 R
0 D
0 R
0 R
0 R
0 R
0 R
0 R
0 D
0 D
0 R
0 D
0 R
0 R
0 R
0 R
0 R
0 D
0 R
0 R
0 R
0 D
0 R
0 D
0 R
0 D
0 R
0 R
0 R
0 D
0 R
0 R
0 D
0 R
0 D
0 R
0 R
0 R
0 R
0 R
0 D
0 R
0 R
0 D
0 R
0 D
0 R
0 R
0 R
0 R
0 R
0 D
0 R
0 R
0 D
0 R
0 R
0 D
0 R
0 R
0 R
0 R
0 R
0 D
0 R
0 R
0 D
0 D
0 D
0 D
0 R
0 D
0 R
0 R
0 R
0 R
0 D
0 D
0 R
0 R
0 D
0 R
0 D
0 R
0 R
0 D
0 D
0 R
0 D
0 R
0 R
0 D
0 R
0 D
0 R
0 R
0 R
0 R
0 R
0 D
0 R
0 D
0 R
0 R
0 D
0 R
